onset	duration	trial_type	value	sample
197.687	0.0	ROWS	11	197687
200.206	0.0	ROWE	10	200206
200.266	0.0	ROWS	11	200266
204.373	0.0	ROWE	10	204373
204.436	0.0	ROWS	11	204436
208.272	0.0	ROWE	10	208272
208.335	0.0	ROWS	11	208335
212.589	0.0	ROWE	10	212589
212.649	0.0	ROWS	11	212649
216.822	0.0	ROWE	10	216822
216.884	0.0	ROWS	11	216884
219.755	0.0	ROWE	10	219755
219.814	0.0	ROWS	11	219814
223.922	0.0	ROWE	10	223922
223.969	0.0	ROWS	11	223969
227.922	0.0	ROWE	10	227922
227.968	0.0	ROWS	11	227968
228.321	0.0	ROWE	10	228321
228.369	0.0	ROWS	11	228369
232.388	0.0	ROWE	10	232388
232.453	0.0	ROWS	11	232453
236.571	0.0	ROWE	10	236571
236.636	0.0	ROWS	11	236636
240.022	0.0	ROWE	10	240022
240.073	0.0	ROWS	11	240073
244.238	0.0	ROWE	10	244238
244.296	0.0	ROWS	11	244296
245.488	0.0	ROWE	10	245488
245.547	0.0	ROWS	11	245547
249.655	0.0	ROWE	10	249655
249.715	0.0	ROWS	11	249715
253.821	0.0	ROWE	10	253821
253.884	0.0	ROWS	11	253884
256.321	0.0	ROWE	10	256321
256.378	0.0	ROWS	11	256378
260.554	0.0	ROWE	10	260554
260.617	0.0	ROWS	11	260617
264.738	0.0	ROWE	10	264738
264.801	0.0	ROWS	11	264801
268.087	0.0	ROWE	10	268087
268.151	0.0	ROWS	11	268151
272.27	0.0	ROWE	10	272270
272.335	0.0	ROWS	11	272335
276.671	0.0	ROWE	10	276671
276.738	0.0	ROWS	11	276738
281.004	0.0	ROWE	10	281004
281.075	0.0	ROWS	11	281075
285.404	0.0	ROWE	10	285404
285.471	0.0	ROWS	11	285471
289.737	0.0	ROWE	10	289737
289.806	0.0	ROWS	11	289806
294.137	0.0	ROWE	10	294137
294.205	0.0	ROWS	11	294205
298.47	0.0	ROWE	10	298470
298.53	0.0	ROWS	11	298530
302.636	0.0	ROWE	10	302636
302.695	0.0	ROWS	11	302695
305.137	0.0	ROWE	10	305137
305.262	0.0	ROWS	11	305262
309.37	0.0	ROWE	10	309370
309.438	0.0	ROWS	11	309438
313.269	0.0	ROWE	10	313269
313.335	0.0	ROWS	11	313335
317.603	0.0	ROWE	10	317603
317.663	0.0	ROWS	11	317663
321.836	0.0	ROWE	10	321836
321.9	0.0	ROWS	11	321900
325.186	0.0	ROWE	10	325186
325.249	0.0	ROWS	11	325249
329.369	0.0	ROWE	10	329369
329.429	0.0	ROWS	11	329429
333.536	0.0	ROWE	10	333536
333.6	0.0	ROWS	11	333600
